anime_id,url,poster,title,overview,score,anime_studio,producer,genres
9397,https://aniwaves.ru/watch/xian-wang-de-richang-shenghuo-73345,https://static.aniwaves.ru/resources/thumbnails/200x280/100/bb45b1323de7f6bae6d47834e4741e4f.jpg,The Daily Life of the Immortal King,"Wang Ling is a high school student with a cool and carefree demeanor. Coming off as someone with a very low spiritual force, he actually possesses a power capable of destroying the world at a moment's notice. To mitigate the volatile force within him, his parents have resorted to using an amulet as a temporary solution. However, the amulet weakens over time and Wang Ling's emotions also accelerate its deterioration. Now with the amulet on the verge of breaking, Wang Ling and his father race against time in order to fix it.",7.0,['Unknown_Studio'],['NA'],"['Adventure', 'Comedy', 'Fantasy', 'Mythology', 'School']"
9398,https://aniwaves.ru/watch/xiao-lu-he-xiao-lan-5th-season-73341,https://static.aniwaves.ru/resources/thumbnails/200x280/100/6819a0002f3409acc0b4ca0b440d73cd.jpg,Beryl and Sapphire 5th Season,No overview available.,,['Unknown_Studio'],['NA'],"['Boys Love', 'Comedy', 'Drama', 'Fantasy']"
9399,https://aniwaves.ru/watch/xian-yu-ge-73339,https://static.aniwaves.ru/resources/thumbnails/200x280/100/0b68aa7f5f1e35c3fe4c307c706f7f28.jpg,Salted Fish,"Xian Yu Ge is a salted fish who boarded at his aunt's house and hangs around idly all day long. However, due to his unique style of doing things, he often encounters survival crisis, and is always working around the island. During this process, Xian Yu Ge gradually becomes acquainted with the strange residents of the island, and he slowly gains family affection and friendship with them. With the arrival of the annual Fish God Festival, the hilarious daily story of Xian Yu Ge unfolds.(Source: bilibili, translated)",7.0,['Unknown_Studio'],['NA'],"['Comedy', 'Fantasy']"
9400,https://aniwaves.ru/watch/xiao-lu-he-xiao-lan-2nd-season-73342,https://static.aniwaves.ru/resources/thumbnails/200x280/100/7b128db6c43c74293e8505f7d96dbe4f.jpg,Beryl and Sapphire 2nd Season,The second season of Xiao Lu He Xiao Lan.,7.0,['BigFireBird Animation'],['bilibili'],"['Boys Love', 'Comedy', 'Drama', 'Fantasy']"
9401,https://aniwaves.ru/watch/xiao-lu-he-xiao-lan-3rd-season-73335,https://static.aniwaves.ru/resources/thumbnails/200x280/100/248b199d5ead3c3071ca9587004cf0b9.jpg,Beryl and Sapphire 3rd Season,Third season of Xiao Lu He Xiao Lan.,7.0,['Unknown_Studio'],['NA'],"['Boys Love', 'Comedy', 'Drama', 'Fantasy']"
9402,https://aniwaves.ru/watch/xian-zun-naiba-dang-zhuixu-73340,https://static.aniwaves.ru/resources/thumbnails/200x280/100/672c88573581e8268c4f83bd9e35a9b5.jpg,Xian Zun Naiba Dang Zhuixu,An undefeated immortal from three realms go to Earth to meet the mother of his daughter who they conceived when the immortal wandered into the woman's dream.(Source: MU),,['Unknown_Studio'],['NA'],"['Action', 'Comedy', 'Fantasy']"
9403,https://aniwaves.ru/watch/xie-wang-zhui-qi-yishi-qingcheng-73338,https://static.aniwaves.ru/resources/thumbnails/200x280/100/f96d0a58302fb6db47e738b3a3af30fd.jpg,Be My Wife,"The well-known special agent, Su Luo, was betrayed and killed. And before she knew it, she was reborn as the most useless Fourth Lady in Su Residence within Bi Luo Land. The public despised her and scorned her, and Lord Jin is the only person who's trying to pursue her. With the help of Lord Jin, Su Luo went to participate in a test in the Holy Temple. They realized that Su Luo is a rare talent. Numerous factions and people tried to stop Su Luo from growing stronger for their own benefit. And, her mysterious identity will be revealed soon.(Source: iQIYI)",7.0,['KJJ Animation'],"['iQIYI', 'High Energy Studio']","['Action', 'Comedy', 'Drama', 'Fantasy', 'Romance', 'Martial Arts']"
9404,https://aniwaves.ru/watch/xie-wang-zhui-qi-73336,https://static.aniwaves.ru/resources/thumbnails/200x280/100/9c1ee85a68ef633a07c65d222b44f164.jpg,The Demonic King Who Chases His Wife,"She, a renowned assassin of the 21st century, actually crossed over to become Su Manor's most useless good-for-nothing Fourth Miss.He, Jin Empire's imperial highness, was an emotionless overbearing demonic tyrant with unrivaled talent.Everyone knew that she was idiotic and good-for-nothing and bullied her as they pleased. But only he, the overbearing tyrant with the discerning eye, wouldn't let go of her even if his life depended on it.For the time being, let's just see how the stubborn versus stubborn clash and play out in this good show of the chaser and the chased.(Source: Official Webnovel)",7.0,['KJJ Animation'],['iQIYI'],"['Action', 'Comedy', 'Drama', 'Fantasy', 'Romance', 'Martial Arts']"
9405,https://aniwaves.ru/watch/xie-wang-zhui-qi-3-shen-nu-guilai-73337,https://static.aniwaves.ru/resources/thumbnails/200x280/100/e04a115ce17439842bb888f1c549da11.jpg,Xie Wang Zhui Qi 3: Shen Nu Guilai,"Su Luo was kidnapped by her love rival Li Yaoyao and her master Fairy Yanxia, who forcefully used the Appearance-Alterning Spell to reveal her true face. In order to escape from their control, Su Luo destroyed Fairy Yanxia's cave and the spell, but she was also seriously injured and fell into the sea. Lifting the spell revealed her mysterious background. The one who rescued her from the sea was actually her lover who assassinated her on Earth—Yun Qi. Shocked, Yun Qi revealed that he knew Su Luo's life secret and could tell her about it.Did Su Luo choose a shortcut for the secret about her past and go with Yun Qi who betrayed her, or will she return to her life with Nangong Liuyun? (Source: iQIYI; translated and edited)",7.0,['KJJ Animation'],"['iQIYI', 'High Energy Studio']","['Drama', 'Fantasy', 'Romance', 'Historical', 'Martial Arts']"
9406,https://aniwaves.ru/watch/xiao-lu-he-xiao-lan-4th-season-73331,https://static.aniwaves.ru/resources/thumbnails/200x280/100/33913d14ae92c41583cf4a2cfa0625de.jpg,Beryl and Sapphire 4th Season,No overview available.,7.0,['Unknown_Studio'],['NA'],"['Boys Love', 'Comedy', 'Drama', 'Fantasy']"
9407,https://aniwaves.ru/watch/xiao-lu-he-xiao-lan-73333,https://static.aniwaves.ru/resources/thumbnails/200x280/100/28392137fac628fb0a16c7433b1be051.jpg,Beryl and Sapphire,"'I've been holding a few words back for a long time — I like you!''Beryl and Sapphire' is a popular manhua created by artist Ocarina. Here includes protagonists with the most random names in history  — the mild-mannered Beryl (Green) and the easily-embarrassed Sapphire (Blue). At times the closest of friends, at others the worst of enemies… In this donghua where each episode is set in a different world, how would they encounter each other time and again?? Only angst? Too painful! Nothing but fluff? Too sugary! Come watch B&S, the show where you'll never guess the ending…(Source: Guodong Subs)",7.0,['Haoliners Animation League'],['Tencent Animation & Comics'],"['Boys Love', 'Comedy', 'Drama', 'Sci-Fi', 'School']"
